id,title,poster_path,status,genre,overview,budget,revenue,production_country,production_company,vote_count,vote_average,release_date,language
76640,The Last Stand,/4PGpdWDQOjlsMcMIyTwI5Q9jPRJ.jpg,Released,Action,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts",30000000,0,"di Bonaventura Pictures, Lionsgate","di Bonaventura Pictures, Lionsgate",2553,6.004,2013-01-12,en
610150,Dragon Ball Super: Super Hero,/pi0iZOEHeA3ih4p1IwAG4x2DZNH.jpg,Released,Animation,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",0,86562140,"Toei Animation, Shueisha, Fuji Television Network, Bandai Namco Entertainment, Bird Studios, Toei Company","Toei Animation, Shueisha, Fuji Television Network, Bandai Namco Entertainment, Bird Studios, Toei Company",2552,7.917,2022-06-11,ja
80271,LOL,/AlnBUoKzzPnczrzzxuh0SYwDa3Z.jpg,Released,Drama,"In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",11000000,10500000,"PIC Agency, Double Feature Films, Lol Productions, Mandate Pictures, Lionsgate, Mandate International, HopeTown Entertainment","PIC Agency, Double Feature Films, Lol Productions, Mandate Pictures, Lionsgate, Mandate International, HopeTown Entertainment",2551,6.129,2012-02-10,en
65057,The Descendants,/8cDq5UlOPYeKm39okALCEOsZPxk.jpg,Released,Comedy,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron Matt King takes his daughters on a trip from Oahu to Kauai to confront a young real estate broker, who was having an affair with Elizabeth before her misfortune.",20000000,177243185,"Dune Entertainment, Fox Searchlight Pictures, Ad Hominem Enterprises","Dune Entertainment, Fox Searchlight Pictures, Ad Hominem Enterprises",2550,6.827,2011-09-09,en
49520,The Change-Up,/ki98MXBwD1qDhY3JhMdY16jJucv.jpg,Released,Comedy,"Dave is a married man with two kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain when lightning strikes, they switch bodies.",52000000,75450437,"Universal Pictures, Relativity Media, Original Film, Big Kid Pictures, Rampage VFX","Universal Pictures, Relativity Media, Original Film, Big Kid Pictures, Rampage VFX",2549,6.134,2011-08-05,en
4442,The Brothers Grimm,/v6J7QGCSrtvwvqAt6783BbO3h61.jpg,Released,Adventure,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",88000000,105316267,"Revolution Sun Studios, The Weinstein Company, Summit Entertainment, Atlas Entertainment, Mosaic Media Group, Reforma Films, Dimension Films, Metro-Goldwyn-Mayer","Revolution Sun Studios, The Weinstein Company, Summit Entertainment, Atlas Entertainment, Mosaic Media Group, Reforma Films, Dimension Films, Metro-Goldwyn-Mayer",2546,5.802,2005-08-26,en
9355,Mad Max Beyond Thunderdome,/jJlxcEVVUHnrUeEkQ0077VeHQpb.jpg,Released,Action,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",10000000,36230219,Kennedy Miller Productions,Kennedy Miller Productions,2546,6.199,1985-06-29,en
8643,The Exorcism of Emily Rose,/qMN0HIP34f736kkQcfvTfmL9TP3.jpg,Released,Crime,"When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",19000000,145166804,"Lakeshore Entertainment, Firm Films, Screen Gems","Lakeshore Entertainment, Firm Films, Screen Gems",2543,6.541,2005-09-09,en
339397,Café Society,/q9fohCRpQ7m8OTyi82fxa3B86te.jpg,Released,Comedy,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age.",30000000,43763247,"Perdido Productions, Gravier Productions, FilmNation Entertainment, Amazon Studios","Perdido Productions, Gravier Productions, FilmNation Entertainment, Amazon Studios",2543,6.457,2016-05-11,en
116711,Epic,/81cSsWzjTfR3cJSqnTiHwy1eyPK.jpg,Released,Animation,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,100000000,268426634,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",2538,6.5,2013-05-15,en
